Product_ID,Product_Name,Category,Unit_Cost_USD,Year,Month,Demand_Units,Warehouse_ID,Supplier_ID,Stock_Units,Reorder_Point_Units,Inventory_Lead_Time_Days,Inventory_Value_USD,Supplier_Name,Supplier_Lead_Time_Days,Reliability_Score,Holding_Cost_Per_Unit_USD,Warehouse_Location,Warehouse_Capacity_Units
P3696, Product2697,BATTERY PACKS,318.6,2022,9,319,W2,S170,864,194,9,37490.89,Supplier_71,23,0.97,0.99, Dallas,37687
P2898,Product1899 ,ENGINE PARTS,168.1,2023,2,284,W5,S146,274,152,5,30663.54,Supplier_47,20,0.9,0.35, New York,43441
P2906,Product1907 ,BOLTS,221.78,2023,11,462,W3,S199,860,370,24,23675.36,Supplier_100,29,0.8,0.13,Philadelphia ,48714
P2115,Product1116 ,BATTERY PACKS,106.09,2022,11,439,W1,S131,773,329,9,7528.92,Supplier_32,17,0.85,1.46, Phoenix,69569
P2576,Product1577 ,BRAKE PADS,156.09,2023,3,241,W6,S186,828,155,16,6085.14,Supplier_87,5,0.82,0.47,Los Angeles ,44647
P3883, Product2884,GEARS,406.25,2022,7,88,W5,S117,541,393,20,11509.73,Supplier_18,22,0.88,0.95, New York,43441
P3070,Product2071 ,brake pads,58.94,2023,10,361,W7,S154,751,366,27,20797.65,Supplier_55,26,0.9,0.39, Dallas,68292
P2488,Product1489 ,bolts,51.36,2022,12,122,W1,S112,294,450,5,46646.23,Supplier_13,27,0.88,1.17, Phoenix,69569
P3470, Product2471,gears,303.39,2022,7,328,W1,S183,353,308,21,30469.37,Supplier_84,15,0.82,1.12, Phoenix,69569
P2726, Product1727,BATTERY PACKS,146.52,2023,2,308,W6,S161,573,344,15,28111.18,Supplier_62,12,0.92,1.27,Los Angeles ,44647
P1336, Product337,BATTERY PACKS,157.14,2023,3,403,W8,S139,99,249,23,14192.74,Supplier_40,29,0.91,1.36, Houston,20877
P1307,Product308 ,ENGINE PARTS,262.25,2023,12,496,W10,S107,308,143,14,40470.65,Supplier_8,16,0.88,1.13, Chicago,56222
P3644, Product2645,engine parts,468.94,2023,2,475,W9,S179,662,238,21,7876.56,Supplier_80,11,0.92,0.84,San Diego ,47212
P2124, Product1125,bolts,252.54,2022,10,179,W6,S149,69,315,11,34438.09,Supplier_50,17,0.89,1.45,Los Angeles ,44647
P3016,Product2017 ,BATTERY PACKS,86.15,2023,9,104,W5,S189,0,212,18,24133.32,Supplier_90,11,0.97,0.91, New York,43441
P1153, Product154,BATTERY PACKS,72.66,2022,2,89,W8,S132,773,193,17,8082.91,Supplier_33,9,0.98,0.86, Houston,20877
